How old are you?;What is your position within the company?;How many years have you been working in the artificial intelligence sector?;In which country is your company headquartered?;What is the size of your company in terms of number of employees?;What sector does your company primarily operate in (e.g. healthcare, finance, automotive, etc.)?;Are you aware of the AI ​​Act proposed by the European Union?;Your company is ready to comply with the requirements of the AI ​​Act;AI ​​Act will promote innovation; AI ​​Act will have a positive impact on your industry;AI ​​Act will increase operating costs for your company;AI ​​Act will increase the final costs of your product/service;AI ​​Act will increase the EU's global competitiveness in AI;AI ​​Act adequately protects the fundamental rights of individuals;AI ​​Act will affect more small and medium-sized businesses versus large corporations;AI ​​Act will lead to a brain drain in the AI ​​sector towards countries with less stringent regulations;AI ​​Act incentivize companies to invest in ethical and responsible AI research;Will the AI ​​Act impact how you manage datasets for training AI models?;Are you concerned about the AI ​​Act's explainability requirements for AI models?;Do you think the AI ​​Act will limit the use of techniques like deep neural networks or unsupervised learning?;Will the AI ​​Act impact your cloud infrastructure or hosting choices?;Will the AI ​​Act affect the use of open source software in your company?;Do you think the AI ​​Act requirements will slow down your development cycles?;Will the AI ​​Act require you to upgrade your team's technical skills?;Will the AI ​​Act affect your future technology choices, such as adopting new programming languages ​​or frameworks?;Do you think you can guarantee continuous compliance for the AI ​​Act?;There is a need to regulate the use of AI;The AI Act is the regulation we need
20-30 years old;AI Architect;3;Belgium;Less than 50 people;Finance;Yes;2;2;2;4;2;2;5;4;4;4;No;No;No;No;No;No;No;Yes;Yes;Agree;Agree
40- 50 years old;Ai engineer ;8;Germany;Between 50 and 250 people;services;Yes;3;2;2;4;4;4;4;4;4;3;Yes;No;No;Yes;Yes;Yes;Yes;No;No;Agree;Disagree
More than 60 years old;AI Strategy Manager;20;France;More than 250 people;Finance;Yes;4;2;2;4;4;3;3;4;3;4;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Agree;Disagree
50-60 years old;Chairman;6;Italy;More than 250 people;Automotive, Logistics and Retail;Yes;4;3;3;4;4;2;5;4;3;4;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Agree;Agree
40- 50 years old;Chief Operating Officer ;20;Italy;Between 50 and 250 people;Finance, High tech, Quantum Programming;Yes;5;5;5;3;3;3;2;4;3;3;Yes;;Yes;Yes;Yes;No;Yes;Yes;Yes;Agree;Disagree
More than 60 years old;Consultant;2;Netherlands;Between 50 and 250 people;IT;Yes;3;4;4;3;3;4;5;3;3;5;Yes;No;No;No;No;No;Yes;Yes;You can do your utmost best;Agree;Agree
30-40 years old;CTO;8;Italy;Less than 50 people;Finance;Yes;4;3;4;;;2;5;4;4;4;No;No;No;No;No;No;No;No;Yes;Agree;Agree
20-30 years old;Data Scientist;5;Spain;Less than 50 people;Banking;Yes;2;2;2;4;3;3;2;5;3;4;Yes;Yes;No;;Yes;Yes;No;Yes;Not now;Agree;Agree
30-40 years old;data scientist and machine learning eng ;6;Germany;More than 250 people;automotive;No;;;;;;;;;;;;;;;;;;;;;
50-60 years old;founder;7;UK;Less than 50 people;healthcare;Yes;3;1;1;5;5;1;2;4;5;3;Yes;Yes;Yes;No;No;Yes;Yes;No;No;Disagree;Disagree
30-40 years old;Head of AI Strategy;8;Spain;More than 250 people;IT System Integration;Yes;4;3;2;4;4;2;3;3;3;4;Yes;Yes;No;No;No;Yes;Yes;No;No;Agree;Disagree
40- 50 years old;Head of technology innovation;6;Italy;More than 250 people;Financial services;Yes;4;2;2;4;4;2;5;2;2;4;No;Yes;Yes;No;No;Yes;No;No;Yes;Agree;Agree
20-30 years old;Junior Deep Learning Engineer ;1;France;Less than 50 people;Industrial;Yes;5;4;4;3;4;2;4;1;3;5;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;Agree;Agree
40- 50 years old;Managing Partner;10;Germany;Less than 50 people;finance;Yes;5;5;5;5;5;;3;2;2;5;Yes;Yes;In some case, I have tested 41 Algo where some will take 11 days to complete train and test which is waste of sources.;Yes;Yes;Yes;Yes;Yes;Yes;Agree;Agree
40- 50 years old;Responsabile AI & Automation;8;Italy;More than 250 people;Insurance;Yes;3;2;3;4;4;2;5;3;2;5;I dont know t;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Agree;Disagree
30-40 years old;Senior Software Architect;8;Germany;Less than 50 people;Automotive;Yes;3;3;3;3;3;3;3;3;3;3;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Agree;Agree
50-60 years old;Software Architect;20;Spain;More than 250 people;Healtcare;Yes;3;2;2;4;4;1;3;5;4;4;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Agree;Disagree
30-40 years old;Software architect;6;Germany;Less than 50 people;Public Services;Yes;2;2;2;4;4;2;4;5;4;4;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Agree;Disagree
40- 50 years old;Software Architect;15;France;Between 50 and 250 people;IT;Yes;3;2;2;4;4;2;4;5;4;4;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Agree;Agree
30-40 years old;Software Architect;8;France;Between 50 and 250 people;Automotive;Yes;2;1;1;4;4;1;3;5;5;3;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;Agree;Agree
40- 50 years old;Technology Architect;10;India;Between 50 and 250 people;Healthcare automotovie, Media,Industry;Yes;3;4;4;4;4;4;5;3;4;4;No;No;No;No;Yes;;Yes;No;Yes;Agree;Agree
